회사명,업종 (대),업종 (소),순이익 21년 1Q,순이익 20년 4Q,순이익 20년 3Q,코드 번호
제이엔케이히터,기계,플랜트설비,-7 ,-28 ,34 ,A126880
아이텍,반도체 관련장비 및 부품,반도체장비,-7 ,-55 ,15 ,A119830
엘엠에스,디스플레이 장비 및 부품,디스플레이 부품,-7 ,-153 ,15 ,A073110
KMH하이텍,반도체 관련장비 및 부품,반도체 부품,-7 ,-23 ,20 ,A052900
선도전기,전기 및 전자기기,전기장비,-7 ,-5 ,18 ,A007610
우리넷,통신,통신장비,-7 ,-61 ,-22 ,A115440
아이엘사이언스,디스플레이 장비 및 부품,디스플레이 부품,-7 ,-16 ,1 ,A307180
누리플랜,일반서비스,환경서비스,-7 ,19 ,-6 ,A069140
명성티엔에스,IT 장비 및 소재,2차전지,-7 ,-78 ,-7 ,A257370
피델릭스,반도체 관련장비 및 부품,반도체 제조,-7 ,-27 ,-6 ,A032580
한솔인티큐브,IT서비스,컨택센터,-7 ,-15 ,-24 ,A070590
슈펙스비앤피,IT 장비 및 소재,PCB,-7 ,-53 ,-8 ,A058530
HB테크놀러지,디스플레이 장비 및 부품,디스플레이 장비,-6 ,-102 ,69 ,A078150
에이치엘비파워,석유 및 가스,석유판매,-6 ,-12 ,0 ,A043220
켄코아에어로스페이스,기계,우주항공,-6 ,-51 ,-21 ,A274090
테고사이언스,제약 및 바이오,바이오,-6 ,4 ,6 ,A191420
광림,기계,중장비 및 관련품,-6 ,-114 ,-90 ,A014200
한국특강,철강 및 비철강,제강,-6 ,9 ,-17 ,A007280
로보티즈,기계,산업용 로봇,-6 ,5 ,-6 ,A108490
에쓰씨엔지니어링,건설 및 건축자재,중견건설사,-6 ,-66 ,-23 ,A023960
이화공영,건설 및 건축자재,중견건설사,-6 ,1 ,1 ,A001840
에이씨티,가정용품,화장품,-6 ,-64 ,-21 ,A138360
새로닉스,디스플레이 장비 및 부품,디스플레이 부품,-6 ,-43 ,41 ,A042600
자연과환경,일반서비스,환경서비스,-6 ,-26 ,-10 ,A043910
대성엘텍,자동차 및 관련부품,전장부품,-6 ,5 ,21 ,A025440
비비안,섬유 및 의류,의류,-6 ,-256 ,-17 ,A002070
메디콕스,조선,조선기자재,-6 ,-44 ,-16 ,A054180
폴라리스웍스,반도체 관련장비 및 부품,반도체 부품,-6 ,-7 ,-10 ,A123010
소프트캠프,IT서비스,소프트웨어,-6 ,6 ,2 ,A258790
미디어젠,IT서비스,소프트웨어,-6 ,-1 ,3 ,A279600
티에이치엔,자동차 및 관련부품,기타 자동차부품,-6 ,73 ,-32 ,A019180
에프알텍,통신,통신장비,-6 ,-30 ,0 ,A073540
THE MIDONG,자동차 및 관련부품,전장부품,-6 ,-46 ,-7 ,A161570
유니테스트,반도체 관련장비 및 부품,반도체장비,-5 ,55 ,-13 ,A086390
동신건설,건설 및 건축자재,중견건설사,-5 ,-31 ,3 ,A025950
흥아해운,운송 및 물류,해상운송,-5 ,-213 ,-110 ,A003280
KPX생명과학,제약 및 바이오,원료의약품,-5 ,-10 ,-1 ,A114450
테라사이언스,기계,중장비 및 관련품,-5 ,-59 ,-10 ,A073640
에이트원,IT서비스,소프트웨어,-5 ,-9 ,-50 ,A230980
페이퍼코리아,종이 및 용기,종이,-5 ,11 ,-51 ,A001020
티엘아이,디스플레이 장비 및 부품,디스플레이 부품,-5 ,-5 ,-21 ,A062860
스맥,기계,공작기계,-5 ,-213 ,-33 ,A099440
진바이오텍,제약 및 바이오,동물용의약품,-5 ,-32 ,6 ,A086060
골드앤에스,일반서비스,교육,-5 ,19 ,-4 ,A035290
삼화전자,IT 장비 및 소재,IT 소재 및 부품,-5 ,-7 ,2 ,A011230
자이언트스텝,미디어 및 엔터,미디어,-4 ,3 ,2 ,A289220
씨아이에스,IT 장비 및 소재,2차전지,-4 ,-11 ,-7 ,A222080
JW신약,제약 및 바이오,제약,-4 ,-37 ,11 ,A067290
시공테크,미디어 및 엔터,미디어,-4 ,10 ,16 ,A020710
기가레인,IT 장비 및 소재,IT 소재 및 부품,-4 ,-136 ,-28 ,A049080
홈센타홀딩스,지주사,지주사,-4 ,40 ,-12 ,A060560
DSC인베스트먼트,금융,기타 금융,-4 ,155 ,44 ,A241520
탑엔지니어링,디스플레이 장비 및 부품,디스플레이 장비,-4 ,-20 ,44 ,A065130
캐리소프트,IT서비스,인터넷서비스,-4 ,-26 ,-5 ,A317530
누리플렉스,유틸리티,스마트그리드,-4 ,-37 ,22 ,A040160
셀바스AI,IT서비스,소프트웨어,-4 ,5 ,4 ,A108860
RF머트리얼즈,통신,통신장비,-4 ,-2 ,-3 ,A327260
삼아제약,제약 및 바이오,제약,-4 ,-2 ,-7 ,A009300
유아이엘,IT 장비 및 소재,스마트폰 부품,-4 ,-58 ,-4 ,A049520
에스에너지,에너지,태양광,-4 ,-177 ,-27 ,A095910
우양,식음료,식료품,-4 ,5 ,7 ,A103840
제낙스,철강 및 비철강,스테인리스,-4 ,98 ,12 ,A065620
원풍물산,섬유 및 의류,의류,-4 ,-57 ,-8 ,A008290
SGA,IT서비스,보안서비스,-4 ,70 ,-6 ,A049470
제이에스티나,섬유 및 의류,의류,-4 ,-48 ,-32 ,A026040
한탑,식음료,식료품,-4 ,-69 ,12 ,A002680
삼일,운송 및 물류,육상운송,-4 ,24 ,45 ,A032280
ITX-AI,전기 및 전자기기,보안장비,-4 ,-17 ,-9 ,A099520
세기상사,미디어 및 엔터,영화,-4 ,-4 ,-4 ,A002420
에코마이스터,기계,기계,-4 ,-196 ,-28 ,A064510
RFHIC,통신,통신장비,-3 ,49 ,-45 ,A218410
녹십자셀,제약 및 바이오,바이오,-3 ,-3 ,14 ,A031390
현대에너지솔루션,에너지,태양광,-3 ,81 ,-62 ,A322000
쇼박스,미디어 및 엔터,영화,-3 ,-15 ,-26 ,A086980
대성산업,석유 및 가스,가스판매,-3 ,512 ,-54 ,A128820
아스트,기계,우주항공,-3 ,-52 ,-172 ,A067390
에이에프더블류,IT 장비 및 소재,2차전지,-3 ,4 ,-1 ,A312610
KT서브마린,건설 및 건축자재,중견건설사,-3 ,-76 ,71 ,A060370
대호에이엘,철강 및 비철강,알루미늄,-3 ,19 ,10 ,A069460
엔에프씨,가정용품,화장품,-3 ,0 ,0 ,A265740
아이퀘스트,IT서비스,소프트웨어,-3 ,16 ,13 ,A262840
엠젠플러스,전기 및 전자기기,전자기기,-3 ,-31 ,-8 ,A032790
에너토크,기계,기계,-3 ,-1 ,-1 ,A019990
엔케이,조선,조선기자재,-3 ,-28 ,44 ,A085310
디에이피,IT 장비 및 소재,PCB,-3 ,9 ,36 ,A066900
블루베리 NFT,가정용품,개인용품,-3 ,-47 ,-29 ,A044480
형지I&C,섬유 및 의류,의류,-3 ,-15 ,-20 ,A011080
디지아이,전기 및 전자기기,전기장비,-3 ,4 ,4 ,A043360
디지캡,IT서비스,시스템서비스,-3 ,24 ,4 ,A197140
듀오백,가정용품,가구,-3 ,-7 ,4 ,A073190
나노,화학,기타 화학,-3 ,-16 ,-17 ,A187790
한국정보공학,유통,유통,-3 ,-13 ,-2 ,A039740
태원물산,자동차 및 관련부품,엔진부품,-3 ,1 ,0 ,A001420
퓨전,IT서비스,시스템서비스,-3 ,-198 ,-28 ,A195440
인텔리안테크,통신,통신장비,-2 ,2 ,-15 ,A189300
아세아시멘트,건설 및 건축자재,시멘트 및 레미콘,-2 ,153 ,79 ,A183190
이트론,전기 및 전자기기,전자기기,-2 ,-29 ,-8 ,A096040
코오롱생명과학,제약 및 바이오,원료의약품,-2 ,-382 ,33 ,A102940
한국전자금융,IT서비스,전자결제,-2 ,-7 ,31 ,A063570
아시아나IDT,IT서비스,시스템서비스,-2 ,-75 ,-6 ,A267850
엔시스,IT 장비 및 소재,2차전지,-2 ,-13 ,12 ,A333620
피에이치씨,가정용품,셋톱박스,-2 ,172 ,17 ,A057880
한국화장품,가정용품,화장품,-2 ,-72 ,-54 ,A123690
티에스아이,기계,기계,-2 ,-18 ,-15 ,A277880
삼화네트웍스,미디어 및 엔터,미디어,-2 ,-7 ,-10 ,A046390
한일단조,자동차 및 관련부품,동력전달장치,-2 ,35 ,-9 ,A024740
아이쓰리시스템,기계,방위산업,-2 ,15 ,-3 ,A214430
에이팩트,반도체 관련장비 및 부품,반도체장비,-2 ,28 ,11 ,A200470
삼륭물산,종이 및 용기,용기 및 포장재,-2 ,-64 ,2 ,A014970
큐캐피탈,금융,기타 금융,-2 ,17 ,15 ,A016600
CNT85,IT서비스,시스템서비스,-2 ,4 ,22 ,A056730
정원엔시스,IT서비스,시스템서비스,-2 ,9 ,0 ,A045510
CS,통신,통신장비,-2 ,0 ,3 ,A065770
성호전자,IT 장비 및 소재,파워서플라이,-2 ,61 ,47 ,A043260
엔바이오니아,가정용품,가전제품,-2 ,-16 ,-3 ,A317870
바른전자,반도체 관련장비 및 부품,반도체장비,-2 ,-55 ,-8 ,A064520
내츄럴엔도텍,제약 및 바이오,바이오,-2 ,-14 ,6 ,A168330
컨버즈,종이 및 용기,종이,-2 ,-30 ,-4 ,A109070
솔루에타,IT 장비 및 소재,스마트폰 부품,-2 ,-108 ,46 ,A154040
티피씨글로벌,자동차 및 관련부품,기타 자동차부품,-2 ,9 ,18 ,A130740
폴루스바이오팜,통신,통신장비,-2 ,-15 ,-2 ,A007630
진양화학,화학,합성수지,-2 ,-3 ,4 ,A051630
동방선기,조선,조선기자재,-2 ,2 ,-7 ,A099410
이엠앤아이,IT 장비 및 소재,스마트폰 부품,-2 ,-13 ,-12 ,A083470
엔지스테크널러지,IT서비스,소프트웨어,-2 ,-9 ,-21 ,A208860
신한제7호스팩,금융,스팩,-2 ,0 ,0 ,A366330
위지윅스튜디오,미디어 및 엔터,영화,-1 ,31 ,-17 ,A299900
케이피엠테크,IT 장비 및 소재,PCB,-1 ,17 ,8 ,A042040
덱스터,미디어 및 엔터,미디어,-1 ,-44 ,-5 ,A206560
바이오솔루션,제약 및 바이오,바이오,-1 ,-6 ,-1 ,A086820
우수AMS,자동차 및 관련부품,조향부품,-1 ,-2 ,-13 ,A066590
이스타코,미디어 및 엔터,미디어,-1 ,-2 ,-1 ,A015020
케이씨티,IT서비스,금융시스템,-1 ,-4 ,2 ,A089150
넥스트BT,식음료,식료품,-1 ,-128 ,-77 ,A065170
모아텍,전기 및 전자기기,전자기기,-1 ,-2 ,-3 ,A033200
플리토,IT서비스,인터넷서비스,-1 ,-14 ,-10 ,A300080
힘스,디스플레이 장비 및 부품,디스플레이 부품,-1 ,-40 ,29 ,A238490
메카로,반도체 관련장비 및 부품,반도체장비,-1 ,-18 ,0 ,A241770
네오리진,IT서비스,보안서비스,-1 ,-7 ,-5 ,A094860
대신정보통신,IT서비스,시스템서비스,-1 ,41 ,-2 ,A020180
웹스,화학,기타 화학,-1 ,3 ,-2 ,A196700
만호제강,철강 및 비철강,선재(와이어),-1 ,-2 ,1 ,A001080
위메이드맥스,미디어 및 엔터,게임,-1 ,-58 ,-21 ,A101730
캐스텍코리아,자동차 및 관련부품,기타 자동차부품,-1 ,-105 ,-27 ,A071850
판타지오,미디어 및 엔터,매니지먼트,-1 ,-16 ,2 ,A032800
엠벤처투자,금융,기타 금융,-1 ,-74 ,-1 ,A019590
모바일리더,IT서비스,시스템서비스,-1 ,19 ,30 ,A100030
에코캡,자동차 및 관련부품,전장부품,-1 ,-93 ,15 ,A128540
윈텍,IT 장비 및 소재,카메라모듈,-1 ,8 ,-25 ,A320000
팬스타엔터프라이즈,기계,기계,-1 ,-25 ,-15 ,A054300
갤럭시아에스엠,미디어 및 엔터,매니지먼트,-1 ,7 ,6 ,A011420
씨씨에스,미디어 및 엔터,미디어,-1 ,-15 ,0 ,A066790
헝셩그룹,유아동산업,유아동산업,-1 ,-81 ,58 ,A900270
엔시트론,IT 장비 및 소재,IT 소재 및 부품,-1 ,-35 ,-7 ,A101400
KD,건설 및 건축자재,중견건설사,-1 ,17 ,-34 ,A044180
SK아이이테크놀로지,IT 장비 및 소재,2차전지,0 ,0 ,0 ,A361610
맥쿼리인프라,운송 및 물류,운송인프라,0 ,0 ,0 ,A088980
F&F,섬유 및 의류,의류,0 ,0 ,0 ,A383220
에코프로에이치엔,화학,종합 화학,0 ,0 ,0 ,A383310
LX홀딩스,지주사,지주사,0 ,0 ,0 ,A383800
코람코에너지리츠,일반서비스,부동산,0 ,0 ,26 ,A357120
우리기술,기계,전력기자재,0 ,-28 ,37 ,A032820
샘씨엔에스,반도체 관련장비 및 부품,종합 반도체,0 ,0 ,0 ,A252990
씨앤씨인터내셔널,가정용품,화장품,0 ,0 ,0 ,A352480
드림시큐리티,IT서비스,소프트웨어,0 ,35 ,4 ,A203650
제주맥주,식음료,음료,0 ,0 ,0 ,A276730
유티아이,IT 장비 및 소재,카메라모듈,0 ,5 ,3 ,A179900
사조동아원,식음료,식료품,0 ,38 ,47 ,A008040
에이디엠코리아,제약 및 바이오,바이오,0 ,0 ,0 ,A187660
한국화장품제조,가정용품,화장품,0 ,-32 ,-23 ,A003350
영화테크,자동차 및 관련부품,기타 자동차부품,0 ,16 ,-4 ,A265560
이삭엔지니어링,IT서비스,시스템서비스,0 ,0 ,0 ,A351330
수성이노베이션,기계,중장비 및 관련품,0 ,-13 ,-3 ,A084180
클라우드에어,전기 및 전자기기,LED,0 ,-76 ,13 ,A036170
진시스템,의료기기 및 용품,의료용품,0 ,0 ,0 ,A363250
TS트릴리온,가정용품,개인용품,0 ,0 ,0 ,A317240
엔에이치스팩19호,금융,스팩,0 ,0 ,0 ,A380440
영보화학,건설 및 건축자재,건축자재,0 ,19 ,17 ,A014440
일승,조선,조선,0 ,0 ,0 ,A333430
EG,반도체 관련장비 및 부품,반도체 부품,0 ,-10 ,-18 ,A037370
미래에셋맵스리츠,일반서비스,부동산,0 ,0 ,-11 ,A357250
비디아이,기계,플랜트설비,0 ,-692 ,60 ,A148140
신진에스엠,기계,기계,0 ,-8 ,-7 ,A138070
투비소프트,IT서비스,소프트웨어,0 ,-148 ,-16 ,A079970
로보로보,일반서비스,교육,0 ,-12 ,0 ,A215100
해성티피씨,기계,기계,0 ,-8 ,4 ,A059270
케이엠제약,가정용품,개인용품,0 ,0 ,-2 ,A225430
삼영에스앤씨,전기 및 전자기기,전자기기,0 ,0 ,0 ,A361670
대성미생물,제약 및 바이오,동물용의약품,0 ,-4 ,3 ,A036480
나노브릭,IT서비스,보안서비스,0 ,2 ,0 ,A286750
삼성스팩2호,금융,스팩,0 ,0 ,0 ,A291230
제닉,가정용품,화장품,0 ,-9 ,-13 ,A123330
유앤아이,의료기기 및 용품,의료기기,0 ,-64 ,-15 ,A056090
에스티오,섬유 및 의류,의류,0 ,-18 ,-10 ,A098660
에스에스알,IT서비스,보안서비스,0 ,2 ,-12 ,A275630
삼성머스트스팩5호,금융,스팩,0 ,0 ,0 ,A380320
삼성스팩4호,금융,스팩,0 ,0 ,0 ,A377630
디에스티,철강 및 비철강,광물,0 ,-57 ,-31 ,A033430
유안타제6호스팩,금융,스팩,0 ,0 ,0 ,A340360
유진스팩5호,금융,스팩,0 ,0 ,0 ,A331380
포티스,IT서비스,인터넷서비스,0 ,0 ,-11 ,A141020
한화에스비아이스팩,금융,스팩,0 ,0 ,0 ,A317320
케이비제18호스팩,금융,스팩,0 ,0 ,0 ,A323940
하나금융17호스팩,금융,스팩,0 ,0 ,0 ,A363260
유진스팩4호,금융,스팩,0 ,0 ,0 ,A321260
엔에이치스팩17호,금융,스팩,0 ,0 ,0 ,A359090
하이제6호스팩,금융,스팩,0 ,0 ,0 ,A377400
유안타제8호스팩,금융,스팩,0 ,0 ,0 ,A367480
케이비제20호스팩,금융,스팩,0 ,0 ,0 ,A342550
미래에셋대우스팩3호,금융,스팩,0 ,0 ,0 ,A328380
하나머스트7호스팩,금융,스팩,0 ,0 ,0 ,A372290
DB금융스팩8호,금융,스팩,0 ,0 ,0 ,A367340
엔에이치스팩16호,금융,스팩,0 ,0 ,0 ,A353190
유안타제5호스팩,금융,스팩,0 ,0 ,0 ,A336060
SK6호스팩,금융,스팩,0 ,0 ,0 ,A340350
대신밸런스제8호스팩,금융,스팩,0 ,1 ,0 ,A336570
대신밸런스제7호스팩,금융,스팩,0 ,0 ,0 ,A332290
케이비17호스팩,금융,스팩,0 ,0 ,0 ,A317030
유안타제7호스팩,금융,스팩,0 ,0 ,0 ,A367460
교보10호스팩,금융,스팩,0 ,0 ,0 ,A355150
IBKS제13호스팩,금융,스팩,0 ,0 ,0 ,A351340
유진스팩6호,금융,스팩,0 ,0 ,0 ,A373340
SK5호스팩,금융,스팩,0 ,0 ,0 ,A337450
신한제6호스팩,금융,스팩,0 ,0 ,0 ,A333050
미래에셋대우스팩 5호,금융,스팩,0 ,0 ,0 ,A353490
에이치엠씨제5호스팩,금융,스팩,0 ,0 ,0 ,A353060
하이제5호스팩,금융,스팩,0 ,0 ,0 ,A340120
한국9호스팩,금융,스팩,0 ,0 ,0 ,A368770
유안타제4호스팩,금융,스팩,0 ,0 ,0 ,A313750
DB금융스팩9호,금융,스팩,0 ,0 ,0 ,A367360
상상인이안1호스팩,금융,스팩,0 ,0 ,0 ,A307870
상상인이안제2호스팩,금융,스팩,0 ,0 ,0 ,A329560
엔에이치스팩18호,금융,스팩,0 ,0 ,0 ,A365590
하나금융15호스팩,금융,스팩,0 ,0 ,0 ,A341160
한화플러스제1호스팩,금융,스팩,0 ,0 ,0 ,A340440
대신밸런스제9호스팩,금융,스팩,0 ,0 ,0 ,A369370
IBKS제14호스팩,금융,스팩,0 ,0 ,0 ,A351320
신영스팩6호,금융,스팩,0 ,0 ,0 ,A344050
하나금융14호스팩,금융,스팩,0 ,0 ,0 ,A332710
케이비제19호스팩,금융,스팩,0 ,0 ,0 ,A330990
럭슬,자동차 및 관련부품,제동장치,0 ,0 ,-309 ,A033600
하나금융16호스팩,금융,스팩,0 ,0 ,0 ,A343510
에이치엠씨제4호스팩,금융,스팩,0 ,0 ,0 ,A353070
교보9호스팩,금융,스팩,0 ,0 ,0 ,A331520
신영스팩5호,금융,스팩,0 ,1 ,0 ,A323280
IBKS제15호스팩,금융,스팩,0 ,0 ,0 ,A373200
이베스트스팩5호,금융,스팩,0 ,0 ,0 ,A349720
엔에이치스팩13호,금융,스팩,0 ,0 ,0 ,A310840
IBKS제12호스팩,금융,스팩,0 ,0 ,0 ,A335870
한국제8호스팩,금융,스팩,0 ,0 ,0 ,A310870
이베스트이안스팩1호,금융,스팩,0 ,0 ,0 ,A323210
키움제5호스팩,금융,스팩,0 ,0 ,0 ,A311270
케이프이에스제4호,금융,스팩,0 ,0 ,0 ,A347140
에스제이케이,자동차 및 관련부품,전장부품,0 ,0 ,0 ,A080440
하나머스트제6호스팩,금융,스팩,0 ,0 ,0 ,A307160
SK4호스팩,금융,스팩,0 ,0 ,0 ,A307070
에스앤씨엔진그룹,자동차 및 관련부품,기타 자동차부품,0 ,0 ,-190 ,A900080
미래에셋생명,금융,생명보험,1 ,-225 ,315 ,A085620
한일현대시멘트,건설 및 건축자재,시멘트 및 레미콘,1 ,256 ,142 ,A006390
케이티알파,유통,홈쇼핑,1 ,0 ,8 ,A036030
삼부토건,건설 및 건축자재,중견건설사,1 ,-257 ,105 ,A001470
셀루메드,의료기기 및 용품,의료용품,1 ,15 ,2 ,A049180
에스맥,IT 장비 및 소재,스마트폰 부품,1 ,-39 ,-38 ,A097780
오킨스전자,반도체 관련장비 및 부품,반도체 부품,1 ,1 ,-4 ,A080580
레몬,화학,종합 화학,1 ,-79 ,-1 ,A294140
제우스,반도체 관련장비 및 부품,반도체장비,1 ,50 ,46 ,A079370
AP위성,통신,통신장비,1 ,-24 ,0 ,A211270
와이어블,통신,통신장비,1 ,24 ,2 ,A065530
오비고,IT서비스,소프트웨어,1 ,0 ,0 ,A352910
바이오스마트,IT서비스,전자결제,1 ,-97 ,-7 ,A038460
리메드,의료기기 및 용품,의료기기,1 ,-47 ,1 ,A302550
보락,식음료,식료품,1 ,1 ,0 ,A002760
컴퍼니케이,금융,기타 금융,1 ,51 ,20 ,A307930
인트로메딕,의료기기 및 용품,의료기기,1 ,-27 ,2 ,A150840
라이트론,통신,통신장비,1 ,-62 ,-17 ,A069540
아시아경제,미디어 및 엔터,미디어,1 ,-17 ,24 ,A127710
알엔투테크놀로지,IT 장비 및 소재,IT 소재 및 부품,1 ,9 ,-9 ,A148250
대원화성,섬유 및 의류,피혁(가죽),1 ,-24 ,1 ,A024890
휴니드,기계,방위산업,1 ,92 ,-5 ,A005870
케이씨에스,IT서비스,시스템서비스,1 ,13 ,3 ,A115500
제룡전기,기계,전력기자재,1 ,10 ,1 ,A033100
에이디칩스,반도체 관련장비 및 부품,반도체 유통,1 ,-80 ,-3 ,A054630
평화산업,자동차 및 관련부품,기타 자동차부품,1 ,10 ,-39 ,A090080
지더블유바이텍,제약 및 바이오,바이오,1 ,-70 ,33 ,A036180
모비스,IT서비스,시스템서비스,1 ,-4 ,-1 ,A250060
NHN벅스,미디어 및 엔터,미디어,1 ,-42 ,-10 ,A104200
대양제지,종이 및 용기,종이,1 ,-114 ,37 ,A006580
삼영엠텍,기계,플랜트설비,1 ,9 ,32 ,A054540
포시에스,IT서비스,소프트웨어,1 ,24 ,-1 ,A189690
엠브레인,IT서비스,시스템서비스,1 ,36 ,4 ,A169330
평화홀딩스,지주사,지주사,1 ,83 ,-46 ,A010770
엔케이물산,종이 및 용기,용기 및 포장재,1 ,-35 ,-10 ,A009810
TPC,전기 및 전자기기,전자기기,1 ,35 ,2 ,A048770
세종메디칼,의료기기 및 용품,의료용품,1 ,0 ,-4 ,A258830
휴네시온,IT서비스,보안서비스,1 ,36 ,0 ,A290270
서울전자통신,IT 장비 및 소재,파워서플라이,1 ,-23 ,6 ,A027040
와토스코리아,건설 및 건축자재,위생도기,1 ,7 ,1 ,A079000
이엘피,디스플레이 장비 및 부품,디스플레이 장비,1 ,-7 ,16 ,A063760
화천기계,기계,공작기계,1 ,-25 ,-10 ,A010660
에스디시스템,IT서비스,시스템서비스,1 ,-2 ,-3 ,A121890
벽산,건설 및 건축자재,건축자재,2 ,-17 ,-4 ,A007210
동구바이오제약,제약 및 바이오,제약,2 ,0 ,22 ,A006620
에스퓨얼셀,IT 장비 및 소재,2차전지,2 ,4 ,4 ,A288620
캔서롭,의료기기 및 용품,진단기기,2 ,-15 ,-15 ,A180400
엔브이에이치코리아,자동차 및 관련부품,차량 내장재,2 ,50 ,-72 ,A067570
에이프로젠 H&G,미디어 및 엔터,게임,2 ,13 ,52 ,A109960
엑셈,IT서비스,소프트웨어,2 ,25 ,31 ,A205100
메디프론,제약 및 바이오,바이오,2 ,-3 ,-19 ,A065650
지엔원에너지,에너지,태양광,2 ,10 ,-1 ,A270520
우원개발,건설 및 건축자재,중견건설사,2 ,-52 ,75 ,A046940
소룩스,반도체 관련장비 및 부품,반도체 부품,2 ,0 ,0 ,A290690
SH에너지화학,화학,합성수지,2 ,-4 ,-6 ,A002360
제일바이오,제약 및 바이오,동물용의약품,2 ,2 ,-2 ,A052670
인성정보,의료기기 및 용품,의료서비스,2 ,36 ,-7 ,A033230
로지시스,IT서비스,금융시스템,2 ,5 ,2 ,A067730
오스템,자동차 및 관련부품,차체부품,2 ,-25 ,41 ,A031510
솔고바이오,의료기기 및 용품,의료용품,2 ,0 ,-7 ,A043100
파워넷,IT 장비 및 소재,파워서플라이,2 ,-14 ,7 ,A037030
현우산업,IT 장비 및 소재,PCB,2 ,23 ,3 ,A092300
GH신소재,자동차 및 관련부품,기타 자동차부품,2 ,-5 ,7 ,A130500
대성파인텍,자동차 및 관련부품,기타 자동차부품,2 ,5 ,5 ,A104040
손오공,유아동산업,유아동산업,2 ,-3 ,-5 ,A066910
유니온커뮤니티,전기 및 전자기기,보안장비,2 ,4 ,4 ,A203450
싸이버원,IT서비스,시스템서비스,2 ,7 ,6 ,A356890
원림,종이 및 용기,용기 및 포장재,2 ,13 ,158 ,A005820
성우전자,IT 장비 및 소재,스마트폰 부품,2 ,-23 ,4 ,A081580
동원수산,식음료,식료품,2 ,-61 ,-3 ,A030720
에스아이리소스,유틸리티,전력,2 ,8 ,8 ,A065420
진양폴리,화학,폴리우레탄,2 ,1 ,6 ,A010640
한국주강,조선,조선기자재,2 ,-5 ,-3 ,A025890
이미지스,IT 장비 및 소재,스마트폰 부품,2 ,-15 ,-11 ,A115610
삼화페인트,건설 및 건축자재,페인트,3 ,19 ,29 ,A000390
성광벤드,기계,피팅 및 밸브,3 ,-32 ,-40 ,A014620
세경하이테크,IT 장비 및 소재,스마트폰 부품,3 ,-2 ,-5 ,A148150
라온피플,IT 장비 및 소재,카메라모듈,3 ,-9 ,-12 ,A300120
이화전기,기계,전력기자재,3 ,-56 ,-14 ,A024810
에넥스,가정용품,가구,3 ,-60 ,7 ,A011090
푸드나무,식음료,식료품,3 ,15 ,26 ,A290720
유유제약,제약 및 바이오,제약,3 ,-5 ,7 ,A000220
센코,전기 및 전자기기,전자기기,3 ,0 ,0 ,A347000
디지틀조선,미디어 및 엔터,미디어,3 ,-2 ,10 ,A033130
한국팩키지,종이 및 용기,용기 및 포장재,3 ,7 ,9 ,A037230
부산산업,건설 및 건축자재,시멘트 및 레미콘,3 ,4 ,9 ,A011390
비올,의료기기 및 용품,의료기기,3 ,0 ,0 ,A335890
퍼스텍,기계,방위산업,3 ,37 ,35 ,A010820
한네트,IT서비스,전자결제,3 ,4 ,5 ,A052600
흥구석유,석유 및 가스,석유판매,3 ,40 ,4 ,A024060
삼영화학,종이 및 용기,용기 및 포장재,3 ,-6 ,3 ,A003720
신화인터텍,디스플레이 장비 및 부품,디스플레이 부품,3 ,-34 ,59 ,A056700
중앙에너비스,석유 및 가스,석유판매,3 ,190 ,0 ,A000440
IMBC,미디어 및 엔터,미디어,3 ,4 ,-3 ,A052220
하이로닉,의료기기 및 용품,의료기기,3 ,18 ,5 ,A149980
쎄노텍,화학,기타 화학,3 ,-63 ,-1 ,A222420
미래생명자원,식음료,식료품,3 ,-1 ,4 ,A218150
신라섬유,섬유 및 의류,섬유,3 ,2 ,3 ,A001000
신라에스지,식음료,식료품,3 ,3 ,-5 ,A025870
우림기계,기계,중장비 및 관련품,3 ,-95 ,2 ,A101170
코디,가정용품,화장품,3 ,-26 ,-16 ,A080530
시큐브,IT서비스,보안서비스,3 ,12 ,4 ,A131090
에스피시스템스,기계,기계,3 ,-4 ,1 ,A317830
브리지텍,IT서비스,컨택센터,3 ,10 ,-7 ,A064480
영신금속,자동차 및 관련부품,선재(볼트),3 ,5 ,-7 ,A007530
신화실업,종이 및 용기,용기 및 포장재,3 ,3 ,4 ,A001770
크루셜텍,IT 장비 및 소재,스마트폰 부품,3 ,-122 ,34 ,A114120
디젠스,자동차 및 관련부품,기타 자동차부품,3 ,-64 ,9 ,A113810
일양약품,제약 및 바이오,제약,4 ,3 ,49 ,A007570
에이프로,IT 장비 및 소재,2차전지,4 ,-24 ,-17 ,A262260
대한방직,섬유 및 의류,섬유,4 ,3 ,4 ,A001070
아모그린텍,IT 장비 및 소재,스마트폰 부품,4 ,19 ,16 ,A125210
윈스,IT서비스,보안서비스,4 ,62 ,31 ,A136540
피엔에이치테크,화학,종합 화학,4 ,-7 ,0 ,A239890
모나리자,종이 및 용기,종이,4 ,14 ,16 ,A012690
일신석재,건설 및 건축자재,건축자재,4 ,-1 ,3 ,A007110
웅진,IT서비스,시스템서비스,4 ,-38 ,36 ,A016880
이그잭스,IT 장비 및 소재,스마트폰 부품,4 ,0 ,16 ,A060230
광명전기,기계,전력기자재,4 ,3 ,6 ,A017040
아센디오,운송 및 물류,운송인프라,4 ,52 ,7 ,A012170
코콤,건설 및 건축자재,홈네트워크,4 ,25 ,28 ,A015710
