회사명,업종 (대),업종 (소),순이익 21년 1Q,순이익 20년 4Q,순이익 20년 3Q,코드 번호
파인디앤씨,디스플레이 장비 및 부품,디스플레이 부품,-28 ,-82 ,-13 ,A049120
코스나인,IT 장비 및 소재,스마트폰 부품,-28 ,-57 ,-8 ,A082660
금호전기,전기 및 전자기기,LED,-28 ,-129 ,-45 ,A001210
알체라,IT서비스,소프트웨어,-27 ,-10 ,-8 ,A347860
앱클론,제약 및 바이오,바이오,-27 ,-15 ,-11 ,A174900
제이엘케이,의료기기 및 용품,의료서비스,-27 ,1 ,-27 ,A322510
이노뎁,IT서비스,시스템서비스,-27 ,0 ,0 ,A303530
용평리조트,레저산업,여행,-26 ,-79 ,1 ,A070960
노랑풍선,레저산업,여행,-26 ,-37 ,-21 ,A104620
에스트래픽,IT서비스,소프트웨어,-26 ,-97 ,-26 ,A234300
테라셈,IT 장비 및 소재,카메라모듈,-26 ,27 ,-11 ,A182690
에이아이비트,디스플레이 장비 및 부품,디스플레이 장비,-26 ,-69 ,-27 ,A039230
지어소프트,IT서비스,시스템서비스,-25 ,23 ,26 ,A051160
지트리비앤티,제약 및 바이오,바이오,-25 ,-61 ,-32 ,A115450
라온시큐어,IT서비스,보안서비스,-25 ,-13 ,-22 ,A042510
오스테오닉,의료기기 및 용품,의료기기,-25 ,-12 ,-3 ,A226400
마이더스AI,IT서비스,소프트웨어,-25 ,12 ,-18 ,A222810
지코,자동차 및 관련부품,엔진부품,-25 ,-14 ,-15 ,A010580
신성이엔지,에너지,태양광,-24 ,-214 ,29 ,A011930
퓨쳐스트림네트웍스,미디어 및 엔터,미디어,-24 ,-63 ,-14 ,A214270
트루윈,자동차 및 관련부품,전장부품,-24 ,2 ,-5 ,A105550
앤씨앤,반도체 관련장비 및 부품,반도체 설계,-24 ,-64 ,-29 ,A092600
아이앤씨,기계,전력기자재,-24 ,-40 ,-3 ,A052860
네오펙트,의료기기 및 용품,의료기기,-24 ,-20 ,-38 ,A290660
서울제약,제약 및 바이오,제약,-24 ,-61 ,77 ,A018680
CSA 코스믹,건설 및 건축자재,건축자재,-24 ,-143 ,-14 ,A083660
기산텔레콤,통신,통신장비,-24 ,4 ,-3 ,A035460
테크윙,반도체 관련장비 및 부품,반도체장비,-23 ,89 ,122 ,A089030
키이스트,미디어 및 엔터,매니지먼트,-23 ,-43 ,124 ,A054780
진양홀딩스,지주사,지주사,-23 ,10 ,-16 ,A100250
잉크테크,전기 및 전자기기,전자기기,-23 ,-11 ,12 ,A049550
솔트룩스,IT서비스,시스템서비스,-23 ,37 ,10 ,A304100
웨이브일렉트로,통신,통신장비,-23 ,-140 ,-29 ,A095270
이수페타시스,IT 장비 및 소재,PCB,-23 ,-99 ,-1 ,A007660
세화아이엠씨,자동차 및 관련부품,타이어,-23 ,-311 ,-29 ,A145210
텔코웨어,통신,통신서비스,-23 ,16 ,19 ,A078000
천일고속,운송 및 물류,육상운송,-23 ,-21 ,-15 ,A000650
쎌마테라퓨틱스,유통,유통,-23 ,-76 ,-43 ,A015540
원바이오젠,의료기기 및 용품,의료용품,-23 ,0 ,0 ,A307280
코이즈,디스플레이 장비 및 부품,디스플레이 부품,-23 ,-13 ,0 ,A121850
메지온,제약 및 바이오,바이오,-22 ,9 ,-59 ,A140410
엔젠바이오,의료기기 및 용품,진단기기,-22 ,-17 ,-15 ,A354200
SBI핀테크솔루션즈,IT서비스,전자결제,-22 ,53 ,31 ,A950110
지엔코,섬유 및 의류,의류,-22 ,-24 ,-69 ,A065060
리더스코스메틱,가정용품,화장품,-22 ,288 ,-28 ,A016100
그리티,섬유 및 의류,의류,-22 ,-11 ,3 ,A204020
시티랩스,운송 및 물류,운송인프라,-22 ,-16 ,-19 ,A139050
파루,에너지,태양광,-22 ,-159 ,-19 ,A043200
KPX홀딩스,지주사,지주사,-21 ,987 ,32 ,A092230
지노믹트리,의료기기 및 용품,의료용품,-21 ,-13 ,-36 ,A228760
웰바이오텍,섬유 및 의류,피혁(가죽),-21 ,-333 ,-72 ,A010600
서울식품,식음료,식료품,-21 ,-25 ,-2 ,A004410
토비스,레저산업,카지노,-21 ,-64 ,10 ,A051360
팬젠,제약 및 바이오,바이오,-21 ,-9 ,-15 ,A222110
릭스솔루션,IT서비스,시스템서비스,-21 ,-98 ,-7 ,A029480
부산주공,자동차 및 관련부품,기타 자동차부품,-21 ,-20 ,45 ,A005030
현대바이오,제약 및 바이오,바이오,-20 ,-69 ,-3 ,A048410
티앤알바이오팹,제약 및 바이오,바이오,-20 ,-17 ,-19 ,A246710
종근당바이오,제약 및 바이오,원료의약품,-20 ,-10 ,14 ,A063160
SM C&C,미디어 및 엔터,매니지먼트,-20 ,-89 ,-16 ,A048550
코오롱머티리얼,섬유 및 의류,섬유,-20 ,-85 ,-35 ,A144620
엔투텍,반도체 관련장비 및 부품,반도체장비,-20 ,32 ,-31 ,A227950
아모센스,IT 장비 및 소재,스마트폰 부품,-20 ,-41 ,-20 ,A357580
한라IMS,조선,조선기자재,-20 ,4 ,9 ,A092460
피피아이,통신,통신장비,-20 ,-20 ,-11 ,A062970
아우딘퓨쳐스,가정용품,화장품,-20 ,-49 ,-34 ,A227610
넵튠,미디어 및 엔터,게임,-19 ,306 ,-18 ,A217270
에이비프로바이오,기계,공작기계,-19 ,-333 ,-3 ,A195990
엘이티,반도체 관련장비 및 부품,반도체 부품,-19 ,-2 ,-22 ,A297890
